,date,price,freight_value,quantity_sold,cci_value,unemr_value,inflation_value
0,2017-07-25 10:50:22,75.0,13.08,1,99.34319,12.80000019,2.711626
1,2017-07-28 14:20:19,75.0,20.02,1,99.34319,12.80000019,2.711626
2,2017-07-28 15:56:14,75.0,20.02,1,99.34319,12.80000019,2.711626
3,2017-07-29 13:22:44,75.0,13.08,2,99.34319,12.80000019,2.711626
4,2017-08-01 13:11:47,75.0,13.08,3,99.37289,12.60000038,2.455909
5,2017-08-02 10:38:47,75.0,24.98,1,99.37289,12.60000038,2.455909
6,2017-08-03 11:47:07,75.0,13.08,1,99.37289,12.60000038,2.455909
7,2017-08-03 17:34:25,75.0,13.08,1,99.37289,12.60000038,2.455909
8,2017-08-04 13:41:17,75.0,21.02,1,99.37289,12.60000038,2.455909
9,2017-08-04 19:00:59,75.0,13.08,1,99.37289,12.60000038,2.455909
10,2017-08-05 11:20:48,75.0,13.08,1,99.37289,12.60000038,2.455909
11,2017-08-06 11:16:03,75.0,13.08,2,99.37289,12.60000038,2.455909
12,2017-08-06 15:51:54,75.0,20.02,1,99.37289,12.60000038,2.455909
13,2017-08-06 21:28:23,75.0,16.16,1,99.37289,12.60000038,2.455909
14,2017-10-07 19:24:09,75.0,13.08,1,99.78332,12.19999981,2.701321
15,2017-10-11 13:53:45,75.0,21.02,1,99.78332,12.19999981,2.701321
16,2017-10-31 12:34:29,75.0,13.08,1,99.78332,12.19999981,2.701321
17,2017-10-31 15:00:53,75.0,10.51,2,99.78332,12.19999981,2.701321
18,2017-11-10 13:43:11,75.0,16.16,1,99.97388,12.0,2.803785
19,2017-11-10 14:15:44,75.0,13.08,1,99.97388,12.0,2.803785
20,2017-11-10 14:19:52,75.0,13.08,1,99.97388,12.0,2.803785
21,2017-11-10 23:39:55,75.0,13.08,1,99.97388,12.0,2.803785
22,2017-11-11 16:05:12,75.0,13.08,1,99.97388,12.0,2.803785
23,2017-11-12 19:21:11,75.0,13.08,3,99.97388,12.0,2.803785
24,2017-11-14 11:29:17,75.0,13.08,1,99.97388,12.0,2.803785
25,2017-11-16 12:12:37,75.0,13.08,2,99.97388,12.0,2.803785
26,2017-11-16 14:08:29,75.0,13.08,2,99.97388,12.0,2.803785
27,2017-11-16 15:20:45,75.0,13.08,1,99.97388,12.0,2.803785
28,2017-11-17 00:49:51,75.0,21.02,1,99.97388,12.0,2.803785
29,2017-11-17 13:00:14,75.0,13.08,2,99.97388,12.0,2.803785
30,2017-11-17 19:42:24,75.0,13.08,2,99.97388,12.0,2.803785
31,2017-11-17 19:43:49,75.0,21.02,1,99.97388,12.0,2.803785
32,2017-11-18 13:37:41,75.0,13.08,2,99.97388,12.0,2.803785
33,2017-11-18 17:05:58,75.0,20.02,3,99.97388,12.0,2.803785
34,2017-11-19 09:13:08,75.0,16.16,2,99.97388,12.0,2.803785
35,2017-11-19 10:21:25,75.0,13.08,1,99.97388,12.0,2.803785
36,2017-11-19 14:55:44,75.0,16.16,1,99.97388,12.0,2.803785
37,2017-11-20 11:27:08,75.0,13.08,1,99.97388,12.0,2.803785
38,2017-11-21 15:27:11,75.0,13.08,2,99.97388,12.0,2.803785
39,2017-11-24 11:17:38,75.0,20.02,1,99.97388,12.0,2.803785
40,2017-11-25 15:00:59,75.0,13.08,1,99.97388,12.0,2.803785
41,2017-11-28 12:02:48,75.0,21.02,1,99.97388,12.0,2.803785
42,2017-11-28 18:53:28,75.0,29.94,1,99.97388,12.0,2.803785
43,2017-11-28 19:00:23,75.0,13.08,2,99.97388,12.0,2.803785
44,2017-11-28 20:35:59,75.0,20.02,1,99.97388,12.0,2.803785
45,2017-11-28 21:52:00,75.0,29.94,1,99.97388,12.0,2.803785
46,2017-11-29 11:27:12,75.0,21.02,1,99.97388,12.0,2.803785
47,2017-11-29 11:58:07,75.0,21.02,1,99.97388,12.0,2.803785
48,2017-11-30 14:37:08,75.0,20.02,1,99.97388,12.0,2.803785
49,2017-12-01 13:45:30,75.0,20.02,4,100.0943,11.80000019,2.947421
50,2017-12-01 17:36:30,75.0,13.08,1,100.0943,11.80000019,2.947421
51,2017-12-02 18:25:16,75.0,16.16,1,100.0943,11.80000019,2.947421
52,2017-12-03 17:21:20,75.0,21.02,1,100.0943,11.80000019,2.947421
53,2017-12-04 17:11:11,75.0,23.4,1,100.0943,11.80000019,2.947421
54,2017-12-05 00:06:40,75.0,21.02,1,100.0943,11.80000019,2.947421
55,2017-12-05 12:58:41,75.0,20.02,1,100.0943,11.80000019,2.947421
56,2017-12-06 11:06:52,75.0,29.94,3,100.0943,11.80000019,2.947421
57,2017-12-06 22:43:30,75.0,20.02,2,100.0943,11.80000019,2.947421
58,2017-12-07 09:08:30,75.0,16.16,2,100.0943,11.80000019,2.947421
59,2017-12-07 20:38:18,75.0,13.08,1,100.0943,11.80000019,2.947421
60,2017-12-08 06:22:33,75.0,16.16,1,100.0943,11.80000019,2.947421
61,2017-12-08 21:46:10,75.0,20.02,1,100.0943,11.80000019,2.947421
62,2017-12-10 18:17:23,75.0,20.02,1,100.0943,11.80000019,2.947421
63,2017-12-11 23:55:52,75.0,13.08,1,100.0943,11.80000019,2.947421
64,2017-12-12 13:36:46,75.0,13.08,1,100.0943,11.80000019,2.947421
65,2017-12-12 16:07:26,75.0,13.08,1,100.0943,11.80000019,2.947421
66,2017-12-12 18:51:47,75.0,13.08,2,100.0943,11.80000019,2.947421
67,2017-12-13 18:02:39,75.0,16.16,1,100.0943,11.80000019,2.947421
68,2017-12-14 16:53:48,75.0,13.08,1,100.0943,11.80000019,2.947421
69,2017-12-15 00:55:29,75.0,13.08,1,100.0943,11.80000019,2.947421
70,2017-12-15 12:57:19,75.0,13.08,2,100.0943,11.80000019,2.947421
71,2017-12-21 11:44:58,75.0,13.08,2,100.0943,11.80000019,2.947421
72,2017-12-22 00:37:14,75.0,13.08,1,100.0943,11.80000019,2.947421
73,2017-12-24 11:05:04,75.0,13.08,1,100.0943,11.80000019,2.947421
74,2017-12-25 12:59:40,75.0,20.02,1,100.0943,11.80000019,2.947421
75,2017-12-25 22:56:51,75.0,13.08,2,100.0943,11.80000019,2.947421
76,2017-12-26 08:24:57,75.0,13.08,1,100.0943,11.80000019,2.947421
77,2017-12-26 11:42:57,75.0,20.02,1,100.0943,11.80000019,2.947421
78,2017-12-26 13:20:13,75.0,21.02,1,100.0943,11.80000019,2.947421
79,2017-12-29 11:36:45,75.0,13.08,1,100.0943,11.80000019,2.947421
80,2017-12-29 17:42:12,75.0,20.02,1,100.0943,11.80000019,2.947421
81,2017-12-30 10:07:59,75.0,13.08,1,100.0943,11.80000019,2.947421
82,2017-12-31 18:40:52,75.0,21.02,1,100.0943,11.80000019,2.947421
83,2018-01-02 11:12:14,75.0,20.02,1,100.1898,12.19999981,2.855116
84,2018-01-02 15:16:36,75.0,13.08,1,100.1898,12.19999981,2.855116
85,2018-01-03 21:00:21,69.9,13.08,1,100.1898,12.19999981,2.855116
86,2018-01-04 08:41:09,69.9,16.12,1,100.1898,12.19999981,2.855116
87,2018-01-04 09:07:39,69.9,20.98,1,100.1898,12.19999981,2.855116
88,2018-01-04 09:07:49,69.9,20.98,1,100.1898,12.19999981,2.855116
89,2018-01-04 09:30:01,69.9,13.08,1,100.1898,12.19999981,2.855116
90,2018-01-04 10:53:52,69.9,13.08,1,100.1898,12.19999981,2.855116
91,2018-01-04 11:15:38,69.9,20.98,1,100.1898,12.19999981,2.855116
92,2018-01-04 11:43:51,69.9,19.98,1,100.1898,12.19999981,2.855116
93,2018-01-04 14:44:50,69.9,13.08,1,100.1898,12.19999981,2.855116
94,2018-01-04 16:22:45,69.9,22.36,1,100.1898,12.19999981,2.855116
95,2018-01-04 17:42:07,69.9,20.98,1,100.1898,12.19999981,2.855116
96,2018-01-04 20:32:50,69.9,13.08,1,100.1898,12.19999981,2.855116
97,2018-01-04 22:12:26,69.9,19.98,1,100.1898,12.19999981,2.855116
98,2018-01-04 22:16:30,69.9,16.12,1,100.1898,12.19999981,2.855116
99,2018-01-04 22:36:32,69.9,16.12,1,100.1898,12.19999981,2.855116
100,2018-01-04 22:41:11,69.9,13.08,2,100.1898,12.19999981,2.855116
101,2018-01-05 09:28:49,69.9,19.98,1,100.1898,12.19999981,2.855116
102,2018-01-05 09:58:59,69.9,14.0,2,100.1898,12.19999981,2.855116
103,2018-01-05 10:24:17,69.9,13.08,1,100.1898,12.19999981,2.855116
104,2018-01-05 12:56:03,69.9,13.08,1,100.1898,12.19999981,2.855116
105,2018-01-05 16:24:48,69.9,13.08,1,100.1898,12.19999981,2.855116
106,2018-01-05 16:46:56,69.9,13.08,1,100.1898,12.19999981,2.855116
107,2018-01-05 20:02:56,69.9,16.12,1,100.1898,12.19999981,2.855116
108,2018-01-05 21:29:54,69.9,19.98,1,100.1898,12.19999981,2.855116
109,2018-01-05 22:38:43,69.9,24.94,2,100.1898,12.19999981,2.855116
110,2018-01-05 22:47:23,69.9,19.98,1,100.1898,12.19999981,2.855116
111,2018-01-06 09:59:00,69.9,13.08,2,100.1898,12.19999981,2.855116
112,2018-01-06 17:12:10,69.9,20.98,2,100.1898,12.19999981,2.855116
113,2018-01-06 17:32:11,69.9,19.98,2,100.1898,12.19999981,2.855116
114,2018-01-06 23:13:06,69.9,13.08,1,100.1898,12.19999981,2.855116
115,2018-01-06 23:28:20,69.9,13.08,1,100.1898,12.19999981,2.855116
116,2018-01-07 14:23:54,69.9,19.98,1,100.1898,12.19999981,2.855116
117,2018-01-07 23:03:41,69.9,19.98,1,100.1898,12.19999981,2.855116
118,2018-01-08 10:05:30,69.9,13.08,1,100.1898,12.19999981,2.855116
119,2018-01-08 12:02:19,69.9,24.94,1,100.1898,12.19999981,2.855116
120,2018-01-08 12:57:12,69.9,20.98,1,100.1898,12.19999981,2.855116
121,2018-01-08 15:16:33,69.9,19.98,1,100.1898,12.19999981,2.855116
122,2018-01-08 21:59:49,69.9,13.08,1,100.1898,12.19999981,2.855116
123,2018-01-08 23:33:12,69.9,19.98,2,100.1898,12.19999981,2.855116
124,2018-01-09 00:16:48,69.9,19.98,1,100.1898,12.19999981,2.855116
125,2018-01-09 13:53:18,69.9,16.12,1,100.1898,12.19999981,2.855116
126,2018-01-09 20:59:52,69.9,16.12,1,100.1898,12.19999981,2.855116
127,2018-01-09 21:48:00,69.9,13.08,1,100.1898,12.19999981,2.855116
128,2018-01-10 09:31:29,69.9,13.08,1,100.1898,12.19999981,2.855116
129,2018-01-10 10:56:33,69.9,23.36,1,100.1898,12.19999981,2.855116
130,2018-01-10 11:04:26,69.9,20.98,1,100.1898,12.19999981,2.855116
131,2018-01-10 12:02:10,69.9,19.98,1,100.1898,12.19999981,2.855116
132,2018-01-10 12:33:40,69.9,13.08,1,100.1898,12.19999981,2.855116
133,2018-01-10 12:39:39,69.9,13.08,1,100.1898,12.19999981,2.855116
134,2018-01-10 17:06:30,69.9,19.98,1,100.1898,12.19999981,2.855116
